#,Listing Title,SKU,LastUpdated,ExpiryDate,SEOTips,Age(Days),VisibilityScore,TotalViews,Views Per Day,TagCount,ImageCount
904,WEDDING INVITATION | Stormy | Celestial Wedding (1315798439),PS/singlecard/Stormy,2022-12-0608:43,2023-01-3009:34,1,92,29%,14,0.15,13,10
127,Congratulations Card | Mr &amp; Mrs Amazing | Custom Wedding Card | Custom Wedding Card | Wedding Cards (1337871255),WHITE + WS,2022-11-1510:32,2023-03-0206:28,5,59,29%,9,0.15,13,10
257,Funny Wedding Card | Congratulations You’re Punching | Congratulations Card | Custom Wedding Card | Wedding Cards (1323891626),WHITE,2022-11-1511:09,2023-03-0206:09,5,59,29%,9,0.15,13,10
717,Thank You Cards | Thank You Vicar | Wedding Cards | Custom Wedding Card | Wedding Cards (1323878694),WHITE + WS,2022-11-1511:40,2023-03-0205:35,5,59,29%,9,0.15,13,10
341,"GOLD FOIL | Wedding Invitations | Saint Lucia | Beach Theme Wedding Invitations, Beach Wedding Invitations, Invitation Wedding Beach Rustic (1315332730)",FSC/Saint Lucia,2022-12-1507:43,2023-02-2011:48,3,72,29%,11,0.15,13,10
347,"GOLD FOIL | Wedding Invitations | Tis The Season | wedding invitations gold foil, elegant wedding invitations, custom wedding invitations (1329301501)",FSC/Tis The Season,2022-12-1508:04,2023-02-2011:45,2,72,29%,11,0.15,13,10
774,"Wedding Day Timeline | Rustic Wedding | Wedding Day Timeline, Wedding Timeline, Wedding Itinerary, Ceremony Program, Wedding Programs (865739351)",,2022-11-1517:30,2023-01-0215:20,4,848,29%,130,0.15,13,6
676,TABLE NUMBERS | Minimalist Coral | Wedding Table Number | Table Number Wedding | Wedding Table Number Cards (1342988831),WOODENHOLDERS,2022-11-1509:06,2023-03-0906:45,5,52,29%,8,0.15,13,10
231,Foiled Save The Date | Palm Leaves | Save The Date Destination Wedding | Destination Wedding Save The Date | Wedding Save The Dates (1325234085),FSD/Palm Leaves,2022-12-0607:57,2023-02-1413:49,5,78,29%,12,0.15,13,10
602,Seating Chart Cards | Burgundy Flowers | Burgundy Wedding | Table Seating Chart Cards | Alphabetical Seating Chart Cards (1312362945),RM 1st Class,2022-12-0710:22,2023-01-2504:58,3,97,29%,15,0.15,13,10
420,Modern Table Numbers | Minimalist Wedding (839699366),WOODENHOLDERS,2022-11-1509:30,2023-02-1107:49,3,871,29%,135,0.15,13,10
504,RSVP CARD | Burgundy Flowers | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1329740774),PS rsvp/burgundyflo,2022-12-1508:22,2023-04-1204:05,4,51,29%,8,0.16,13,10
521,RSVP CARD | One | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1329746980),PS rsvp/one/env,2022-12-1510:08,2023-03-1006:17,4,51,29%,8,0.16,13,10
524,RSVP CARD | Palm Tree | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1329747346),PS rsvp/palmtree,2022-12-1509:56,2023-03-1006:18,3,51,29%,8,0.16,13,10
1014,"Wedding Programs | Rustic Wedding | Wedding Day Timeline, Wedding Timeline, Wedding Itinerary, Ceremony Program, Wedding Programs (851831498)",PS/7x5Program/kraftlights,2022-12-0109:08,2023-01-0912:00,3,848,29%,134,0.16,13,10
966,Wedding Itinerary | Minimalist (851802110),PSpamph/booth,2022-12-0110:48,2023-02-0715:00,2,848,29%,135,0.16,13,10
35,"BAR MENU | Burgundy Watercolour | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Watercolor Wedding Bar Menu (1331134557)",SILVER FOIL,2022-11-1516:35,2023-02-2304:53,3,69,29%,11,0.16,13,10
51,"BAR MENU | One | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1317168212)",PRINT,2022-11-1516:28,2023-02-2305:15,3,69,29%,11,0.16,13,10
726,THANK YOU | Beach | Thank You Cards | Wedding Thank You Cards Personalized | Wedding Gift Thank You Cards | Thank You Cards Wedding (1330522678),PS/tyc/beach,2022-12-0110:49,2023-03-1106:53,4,50,29%,8,0.16,13,10
740,THANK YOU | Minimalist Plum | Thank You Cards | Wedding Thank You Cards Custom | Wedding Thank You Cards | Thank You Cards Wedding (1330517978),PS/tyc/purplemin,2022-12-0110:52,2023-03-1106:42,4,50,29%,8,0.16,13,10
749,THANK YOU | Rose Garden | Thank You Cards | Thank You Wedding Cards Folded | Wedding Thank You Cards | Thank You Cards Wedding (1344486255),PS/tyc/rosegarden,2022-12-0110:57,2023-03-1106:18,5,50,29%,8,0.16,13,10
970,Wedding Itinerary | Purple Wildflowers (851803846),PSpamph/wildflowers,2022-12-0110:44,2023-03-1307:20,2,848,29%,136,0.16,13,10
1032,Wedding Thank You Notes | Thank You Wedding Cards Folded | Thank You Card Wedding Personalized | Thank You Card Wedding | (908089090),PS/tyc/outlinewreath,2022-12-0111:11,2023-01-2021:30,4,751,29%,121,0.16,13,10
771,"Wedding Day Timeline | Indian Wedding | Wedding Day Timeline, Wedding Timeline, Wedding Itinerary, Ceremony Program, Wedding Programs (851823338)",,2022-11-1517:05,2023-01-0413:12,4,848,29%,138,0.16,13,5
890,WEDDING INVITATION | Rose Garden | Summer Wedding (1315798251),PS/singlecard/Rose Garden,2022-12-0607:41,2023-01-3009:34,1,92,29%,15,0.16,13,10
901,WEDDING INVITATION | Southwest | Fiesta Invitation (1301637730),PS gate/Southwest,2022-12-0610:46,2023-01-3003:41,1,92,29%,15,0.16,13,10
1042,"WELCOME SIGN | Blush Floral | Blush Pink Wedding, Wedding Welcome Sign Flower, Welcome Sign For Groom, 70th Welcome Sign (1332467177)",A1 BOARD,2022-12-0710:22,2023-02-2505:19,3,67,29%,11,0.16,13,10
1054,"WELCOME SIGN | Fiery | Fall Wedding, Welcome To Our Wedding Sign, Couples Shower Welcome Sign, The Night Before Welcome Sign (1332464813)",A4 CARD,2022-12-0710:22,2023-02-2505:13,3,67,29%,11,0.16,13,10
595,Seating Chart Cards | Beach | Destination Wedding (1312366655),RM 1st Class,2022-12-0710:22,2023-01-2505:15,2,97,29%,16,0.16,13,10
599,Seating Chart Cards | Blue Watercolour | Dusty Blue Wedding (1298330932),RM 1st Class,2022-12-0710:22,2023-01-2504:44,3,97,29%,16,0.16,13,10
769,"Wedding Day Timeline | Fall Wedding | Wedding Day Timeline, Wedding Timeline, Wedding Itinerary, Ceremony Program, Wedding Programs (851822668)",,2022-11-1516:46,2023-01-1012:50,4,848,29%,141,0.17,13,6
701,Thank You Cards | Thank You For Capturing Our Wedding Day | Wedding Cards | Custom Wedding Card | Wedding Cards (1337297517),WHITE + WS,2022-11-1512:02,2023-03-0111:57,5,60,29%,10,0.17,13,10
327,"GOLD FOIL | Wedding Invitations | Minimalist Coral | Wedding Invitations Gold Foil, Elegant Wedding Invitations, Custom Wedding Invitations (1315307472)",FSC/Minimalist Coral,2022-12-1508:19,2023-02-2011:08,2,72,29%,12,0.17,13,10
328,"GOLD FOIL | Wedding Invitations | Monroe | Wedding Invitations Gold Foil, Elegant Wedding Invitations, Custom Wedding Invitations (1329308229)",FSC/Monroe,2022-12-1507:44,2023-02-2011:55,2,72,29%,12,0.17,13,10
232,Foiled Save The Date | Photo Booth | Save The Date Template With Photo | Save The Date Cards | Wedding Save The Dates | Save The Date (1311251422),FSD/Photo Booth,2022-12-0607:49,2023-02-1413:52,5,78,29%,13,0.17,13,10
234,Foiled Save The Date | Rings | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325219557),FSD/Rings,2022-12-0608:04,2023-02-1413:28,5,78,29%,13,0.17,13,10
241,Foiled Save The Date | Succulents | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1311238388),FSD/Succulents,2022-12-0607:47,2023-02-1413:33,5,78,29%,13,0.17,13,10
967,Wedding Itinerary | Minimalist (865712505),PSpamph/beach,2022-12-0111:19,2023-01-2123:03,2,848,29%,142,0.17,13,10
204,Flower Girl Card | Thank You For Being Our Flower Girl | Thank You Cards | Custom Wedding Card | Wedding Cards (1337839591),WHITE,2022-11-1512:07,2023-03-0204:59,5,59,29%,10,0.17,13,10
266,Funny Wedding Card | It’s Nice You Both Put Personality Over Looks Congratulations | Congratulations Card | Custom Wedding Card (1323893272),WHITE,2022-11-1511:03,2023-03-0206:14,4,59,29%,10,0.17,13,10
481,Proposal Card | Will You Be Our Officant | Wedding Cards | Custom Wedding Card | Wedding Cards (1337842501),WHITE + WS,2022-11-1511:39,2023-03-0205:08,5,59,29%,10,0.17,13,10
483,Proposal Card | Will You Dj At Our Wedding | Wedding Cards | Custom Wedding Card | Wedding Cards (1323869082),WHITE,2022-11-1512:19,2023-03-0205:07,5,59,29%,10,0.17,13,10
716,Thank You Cards | Thank You To The Perfect Venue Team | Wedding Cards | Custom Wedding Card | Wedding Cards (1337852711),WHITE,2022-11-1511:20,2023-03-0205:38,5,59,29%,10,0.17,13,10
145,DETAILS CARD | Blue Roses | wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328265178),GIC / blueroses,2022-12-1510:15,2023-03-0807:50,4,53,29%,9,0.17,13,10
159,DETAILS CARD | Daffodils | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328252738),GIC / daff,2022-12-1510:29,2023-03-0807:22,4,53,29%,9,0.17,13,10
164,DETAILS CARD | Greenery Eucalyptus | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328250760),GIC / greeneryeuc,2022-12-3014:05,2023-04-3013:05,4,53,29%,9,0.17,13,10
170,DETAILS CARD | October | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1342209903),GIC / october,2022-12-1510:17,2023-03-0806:42,4,53,29%,9,0.17,13,10
174,DETAILS CARD | Palm Tree | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1342206617),GIC / palmtree,2022-12-1510:27,2023-03-0806:34,4,53,29%,9,0.17,13,10
179,DETAILS CARD | Spring | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328231800),GIC / spring,2022-12-2817:06,2023-04-2816:06,4,53,29%,9,0.17,13,10
182,DETAILS CARD | Teal Watercolour | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1342201527),GIC/tealwatercolour,2022-12-1510:31,2023-03-0806:20,4,53,29%,9,0.17,13,10
301,Gold Foil Invitation | Rustic Blush (1237087290),conc/rusticfloral/ONE,2022-12-1508:16,2023-02-1509:10,2,200,29%,34,0.17,13,10
419,Modern Table Numbers | Gold Confetti (853613939),WOODENHOLDERS,2022-11-1508:26,2023-02-1811:40,3,871,29%,149,0.17,13,10
1030,Wedding Thank You Notes | Thank You Wedding Cards Folded | Thank You Card Wedding Personalized | Thank You Card Wedding | (726423660),PS/tyc/beach,2022-12-1820:20,2023-04-1819:20,4,"1,190",29%,204,0.17,13,10
1009,"Wedding Programs | Forest Wedding  | Wedding Day Timeline, Wedding Timeline, Wedding Itinerary, Ceremony Program, Wedding Programs (851834290)",PS/7x5Program/outline,2022-12-0109:12,2023-02-1714:34,3,848,29%,146,0.17,13,10
879,WEDDING INVITATION | Pink Lace | Boho Invitation (1315659413),PS gate/Pink Lace,2022-12-0610:47,2023-02-0311:58,1,92,29%,16,0.17,13,10
897,WEDDING INVITATION | Saint Tropez | Destination Wedding (1301770612),PS/singlecard/Saint Tropez,2022-12-0607:40,2023-01-3009:34,2,92,29%,16,0.17,13,10
882,Wedding Invitation | Pink Watercolour (907362426),PS flat/pinkwater,2022-12-1513:00,2023-04-1512:00,1,752,29%,131,0.17,13,10
613,Seating Chart Cards | Greenery Eucalyptus | Sage Green Wedding (1312360479),RM 1st Class,2022-12-0710:22,2023-01-2504:45,3,97,29%,17,0.18,13,10
621,Seating Chart Cards | October | Fall Wedding (1312359753),RM 1st Class,2022-12-0710:22,2023-01-2504:42,2,97,29%,17,0.18,13,10
512,RSVP CARD | Feathers | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1329742440),PS rsvp/feathers,2022-12-1509:56,2023-03-1006:04,4,51,29%,9,0.18,13,10
532,RSVP CARD | Succulents | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1329749152),PS rsvp/succulents,2022-12-1508:53,2023-03-1006:23,4,51,29%,9,0.18,13,10
533,RSVP CARD | Sunflowers | Rsvp Meal Choice | Rsvp Postcard | Rsvp Cards (1343725853),PS rsvp/sunflowers,2022-12-1508:25,2023-03-2102:58,3,51,29%,9,0.18,13,10
1036,"WELCOME SIGN | Beach | Beach Theme Wedding, Welcome Sign Unplugged Ceremony, Travel Theme Wedding Welcome Sign, Engagment Party Welcome Sign (1332473555)",A4 CARD,2022-12-0710:22,2023-02-2505:37,3,67,29%,12,0.18,13,10
206,Foiled Save The Date | Argyle Apple | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1311251054),FSD/Argyle Apple,2022-12-0607:35,2023-02-1413:52,5,78,29%,14,0.18,13,10
249,Foiled Save The Date | Winter | Save The Date Cards | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325238101),FSD/Winter,2022-12-0607:47,2023-02-1413:55,5,78,29%,14,0.18,13,10
729,THANK YOU | Blue Watercolour | Thank You Cards | Wedding Thank You Cards Personalized | Gift Thank You Cards | Thank You Cards Wedding (1344500443),PS/tyc/bluewater,2022-12-0110:48,2023-03-1106:55,4,50,29%,9,0.18,13,10
747,THANK YOU | Pink Watercolour | Thank You Cards | Wedding Thank You Cards Custom | Wedding Thank You Cards | Thank You Cards Wedding (1344496679),PS/tyc/pinkwater,2022-12-0110:50,2023-03-1106:46,4,50,29%,9,0.18,13,10
331,"GOLD FOIL | Wedding Invitations | Outline | Wedding Invitations Gold Foil, Elegant Wedding Invitations, Custom Wedding Invitations (1329306083)",FSC/Outline,2022-12-1507:52,2023-02-2011:52,2,72,29%,13,0.18,13,10
344,"GOLD FOIL | Wedding Invitations | Succulents | Wedding Invitations Gold Foil, Elegant Wedding Invitations, Custom Wedding Invitations (1329302391)",FSC/Succulents,2022-12-1507:55,2023-02-2011:46,2,72,29%,13,0.18,13,10
900,Wedding Invitation | Snowy Mountains (921291089),PS flat/mountain,2022-12-0608:40,2023-01-0922:40,1,752,29%,136,0.18,13,10
423,Modern Table Numbers | Purple Wildflowers (839695182),WOODENHOLDERS,2022-11-2606:00,2023-03-2605:00,3,871,29%,158,0.18,13,10
976,Wedding Itinerary | Sunflower Wedding (851802752),PSpamph/sunflowers,2022-12-2519:30,2023-04-2518:30,2,848,29%,156,0.18,13,10
870,WEDDING INVITATION | October | Fall Wedding Invites (1315663027),PS gate/October,2022-12-2209:21,2023-04-2208:21,3,92,29%,17,0.18,13,10
873,WEDDING INVITATION | Palm Tree | Destination Wedding (1301770300),PS/singlecard/Palm Tree,2022-12-0607:41,2023-01-3009:33,2,92,29%,17,0.18,13,10
885,WEDDING INVITATION | Potpourri | Fall Wedding (1301770970),PS/singlecard/Potpourri,2022-12-0607:33,2023-01-3009:35,2,92,29%,17,0.18,13,10
571,Save The Date | Palm Leaf | Save The Date Custom Cards | Wedding Save The Dates | Wedding Save The Date (907352352),PS sdc/fern,2022-12-0606:26,2023-01-2918:30,5,752,29%,139,0.18,13,10
617,Seating Chart Cards | Lavender | Lavender Wedding (1298334126),RM 1st Class,2022-12-0710:22,2023-01-2505:00,2,97,29%,18,0.19,13,10
627,Seating Chart Cards | Rivers &amp; Mountains | Mountain Wedding (1298330274),RM 1st Class,2022-12-0710:22,2023-01-2504:41,3,97,29%,18,0.19,13,10
432,Modern Table Numbers | Woodland Wedding (839697216),WOODENHOLDERS,2022-12-1406:00,2023-04-1405:00,3,871,29%,162,0.19,13,10
1031,Wedding Thank You Notes | Thank You Wedding Cards Folded | Thank You Card Wedding Personalized | Thank You Card Wedding | (739820057),PS/tyc/succulents,2022-12-1506:20,2023-04-1505:20,4,"1,192",29%,222,0.19,13,10
972,Wedding Itinerary | Rustic Wedding (865713261),PSpamph/krft,2022-12-0111:44,2023-01-1012:00,2,848,29%,158,0.19,13,10
265,Funny Wedding Card | I Will Happily Third Wheel With You On Your Honeymoon | Congratulations Card | Custom Wedding Card | Wedding Cards (1323885568),WHITE,2022-11-1510:40,2023-03-0205:53,5,59,29%,11,0.19,13,10
277,Funny Wedding Card | To The Most Boring Couple I Know Happy Wedding Day | Congratulations Card | Custom Wedding Card | Wedding Cards (1323885682),WHITE,2022-11-1511:10,2023-03-0205:53,5,59,29%,11,0.19,13,10
486,Proposal Card | Will You Perform At Our Wedding | Wedding Cards | Custom Wedding Card | Wedding Cards (1337841635),WHITE,2022-12-0919:59,2023-04-0918:59,5,59,29%,11,0.19,13,10
697,Thank You Cards | Thank You For Being Our Page Boy | Wedding Cards | Custom Wedding Card | Wedding Cards (1337839721),WHITE + WS,2022-11-1512:19,2023-03-0205:00,5,59,29%,11,0.19,13,10
714,Thank You Cards | Thank You Mum | Wedding Cards | Custom Wedding Card | Wedding Cards (1323873322),WHITE,2022-11-1512:10,2023-03-0205:20,5,59,29%,11,0.19,13,10
25,"BAR MENU | Argyle Apple | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Modern Wedding Bar Menu (1317167002)",GOLD FOIL,2022-11-1516:11,2023-02-2305:10,3,69,29%,13,0.19,13,10
50,"BAR MENU | Olive | Bar Menu Sign Wedding, Wedding Bar Menu Sign, Bar Menu Sign His And Hers (1317168084)",PRINT,2022-11-1516:28,2023-02-2305:14,3,69,29%,13,0.19,13,10
147,DETAILS CARD | Blush Details | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328252210),GIC / blushdetails,2022-12-1510:18,2023-03-0807:21,4,53,29%,10,0.19,13,10
166,DETAILS CARD | Kraft Eucalyptus | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1342223015),GIC / krfteuc,2022-12-1510:23,2023-03-0807:14,4,53,29%,10,0.19,13,10
173,DETAILS CARD | Palm Leaf | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1342225783),GIC / palmleaf,2022-12-1510:14,2023-03-0807:20,4,53,29%,10,0.19,13,10
1099,"Woodland Place Card, Place Cards, Place Names, Place Cards Wedding, Place Settings, Table Setting, Seating Cards, Guest Names, Name Tags (854643797)",PS plc/woodland,2022-12-1512:04,2023-03-2105:23,5,869,29%,166,0.19,13,10
421,Modern Table Numbers | Photo Card (839694680),WOODENHOLDERS,2022-12-1119:10,2023-04-1118:10,3,871,29%,167,0.19,13,10
1017,"Wedding Programs | Rustic Wedding | Wedding Day Timeline, Wedding Timeline, Wedding Itinerary, Ceremony Program, Wedding Programs (865749653)",PS/7x5Program/booth,2022-12-0108:58,2023-01-1609:40,3,848,29%,163,0.19,13,10
682,TABLE NUMBERS | Pink Watercolour | Wedding Table Number | Table Number Wedding | Wedding Table Number Cards (1342986107),WOODENHOLDERS,2022-11-1509:07,2023-03-0906:39,5,52,29%,10,0.19,13,10
215,Foiled Save The Date | Dusty Blue | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1325215937),FSD/Blue,2022-12-0608:15,2023-02-1413:22,5,78,29%,15,0.19,13,10
475,"Potpourri Place Card, Dried Flowers Place Cards, Floral Place Names, Rustic Place Cards Wedding, Place Settings, Table Setting, Seating Card (1187396798)",PS plc/potpourri,2022-12-2208:55,2023-04-2207:55,6,284,29%,55,0.19,13,10
1039,"WELCOME SIGN | Blue Mountains | Dusty Blue Wedding, Welcome Sign Engagement Party, Welcome Sign Wedding Royal Blue, 70th Welcome Sign (1318498498)",A1 BOARD,2022-12-0710:22,2023-02-2505:42,3,67,29%,13,0.19,13,10
1058,"WELCOME SIGN | Minimalist Plum | Modern Boho Wedding, Welcome To Our Wedding Sign, Simple Baby Shower Welcome Sign, Welcome To Whoville Sign (1318487010)",A4 CARD,2022-12-0710:22,2023-02-2505:10,3,67,29%,13,0.19,13,10
1072,"WELCOME SIGN | Sunset Beach | Beach Theme Wedding, Welcome To Our Wedding Sign, Welcome Sign Christmas In July, Wedding Welcome Sign (1318495652)",A1 BOARD,2022-12-0710:22,2023-02-2505:34,3,67,29%,13,0.19,13,10
310,"GOLD FOIL | Wedding Invitations | Blue Roses | Blue Wedding Invitations, Dusty Blue Wedding Invitations, Blue Luxury Wedding Invitations (1329279273)",FSC/Blue Roses,2022-12-1508:03,2023-02-2011:10,2,72,29%,14,0.19,13,10
319,"GOLD FOIL | Wedding Invitations | Dark Water | Wedding Invitations Gold Foil, Elegant Wedding Invitations, Custom Wedding Invitations (1329280813)",FSC/Dark Water,2022-12-1508:12,2023-02-2011:13,2,72,29%,14,0.19,13,10
329,"GOLD FOIL | Wedding Invitations | October | Fall Wedding Invitations Printed, Fall Themed Wedding Invitations, Fall Wedding Invitations (1315337248)",FSC/October,2022-12-1507:40,2023-03-1210:28,3,72,29%,14,0.19,13,10
350,"GOLD FOIL | Wedding Invitations | White Roses | Wedding Invitations Gold Foil, Elegant Wedding Invitations, Custom Wedding Invitations (1315330298)",FSC/White Roses,2022-12-1507:59,2023-02-2011:44,2,72,29%,14,0.19,13,10
351,"GOLD FOIL | Wedding Invitations | Wildflowers | Wedding Invitations Gold Foil, Elegant Wedding Invitations, Custom Wedding Invitations (1315329482)",FSC/Wildflowers,2022-12-1507:59,2023-02-2011:43,2,72,29%,14,0.19,13,10
834,WEDDING INVITATION | Classic Floral | Peony Invitation (1301635642),PS gate/Classic Floral,2022-12-0610:46,2023-01-3003:33,2,92,29%,18,0.20,13,10
883,WEDDING INVITATION | Pink Watercolour | Boho Invitation (1301636098),PS gate/Pink Watercolour,2022-12-0610:48,2023-02-1712:45,2,92,29%,18,0.20,13,10
592,Seating Chart Cards | Argyle Kraft | Rustic Wedding (1312368001),RM 1st Class,2022-12-0710:22,2023-01-2505:22,3,97,29%,19,0.20,13,10
526,RSVP CARD | Pine | Rsvp Meal Choice | Rsvp Postcard | Mountain Destination Wedding (1343724253),PS rsvp/pine,2022-12-1510:04,2023-03-1006:19,4,51,29%,10,0.20,13,10
728,THANK YOU | Blue Roses | Thank You Cards | Thank You Wedding Cards Folded | Wedding Gift Thank You Cards | Thank You Cards Wedding (1344481727),PS/tyc/blueroses,2022-12-0111:00,2023-03-1106:06,5,50,44%,10,0.20,13,10
388,"Kraft Place Card, Rustic Place Cards, Place Names, Place Cards Wedding, Boho, Table Setting, Seating Cards, Guest Names, Name Tags For Table (854644315)",PS plc/kraft,2022-12-2110:40,2023-04-2109:40,6,869,44%,174,0.20,13,10
773,"Wedding Day Timeline | Indian Wedding | Wedding Day Timeline, Wedding Timeline, Wedding Itinerary, Ceremony Program, Wedding Programs (865740261)",,2022-11-1517:15,2023-01-1013:00,4,848,44%,170,0.20,13,6
775,"Wedding Day Timeline | Rustic Wedding | Wedding Day Timeline, Wedding Timeline, Wedding Itinerary, Ceremony Program, Wedding Programs (865740737)",,2022-11-1517:07,2023-03-1116:20,4,848,44%,171,0.20,13,5
263,"Funny Wedding Card | Hurrah, Well Done, Bravo! | Congratulations Card | Custom Wedding Card | Wedding Cards (1323899500)",WHITE,2022-11-1510:35,2023-03-0206:30,5,59,44%,12,0.20,13,10
279,Funny Wedding Card | Well Done Hurrah! | Congratulations Card | Custom Wedding Card | Wedding Cards (1323899134),WHITE,2022-11-1510:31,2023-03-0206:29,5,59,44%,12,0.20,13,10
1019,"Wedding Schedule | Beach Wedding | Wedding Day Timeline, Wedding Timeline, Wedding Itinerary, Ceremony Program, Wedding Programs (865668931)",concprog/beach,2022-12-0713:35,2023-04-0712:35,4,848,44%,173,0.20,13,6
207,Foiled Save The Date | Autumn | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1311240768),FSD/Autumn,2022-12-0607:56,2023-02-1413:36,5,78,44%,16,0.21,13,10
211,Foiled Save The Date | Blush Floral | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1311256324),FSD/Blush Floral,2022-12-0607:39,2023-02-1413:59,5,78,44%,16,0.21,13,10
236,Foiled Save The Date | Script | Save The Date | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1311255692),FSD/Script,2022-12-0607:32,2023-02-1413:58,5,78,44%,16,0.21,13,10
247,Foiled Save The Date | White Roses | Save The Date Cards | Save The Date Cards | Wedding Save The Dates | Save The Date Postcard (1311230800),FSD/White Roses,2022-12-0608:19,2023-02-1413:21,5,78,44%,16,0.21,13,10
1024,"Wedding Schedule | Rustic Wedding | Wedding Day Timeline, Wedding Timeline, Wedding Itinerary, Ceremony Program, Wedding Programs (851755026)",PS/concprog/rusticflo,2022-12-0111:10,2023-02-0311:58,4,848,44%,174,0.21,13,6
894,Wedding Invitation | Rustic Wedding (907364354),flat/pine,2022-12-2709:40,2023-04-2708:40,1,752,44%,155,0.21,13,10
593,Seating Chart Cards | Art Deco | 1920s wedding (1298330120),RM 1st Class,2022-12-0710:22,2023-01-2504:41,2,97,44%,20,0.21,13,10
638,Seating Chart Cards | Tropical | Destination Wedding (1312362375),RM 1st Class,2022-12-0710:22,2023-03-0614:17,3,97,44%,20,0.21,13,10
833,WEDDING INVITATION | Chalkboard | Rustic Wedding (1315798681),PS/singlecard/Chalkboard,2022-12-0607:31,2023-02-2821:00,1,92,44%,19,0.21,13,10
896,WEDDING INVITATION | Saint Lucia | Destination Wedding (1301770556),PS/singlecard/Saint Lucia,2022-12-0607:41,2023-01-3009:34,2,92,44%,19,0.21,13,10
429,Modern Table Numbers | Sunflower Wedding (853609995),WOODENHOLDERS,2022-11-1509:06,2023-01-1306:59,3,871,44%,180,0.21,13,10
154,DETAILS CARD | Calligraphy | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1328253162),GIC / callig,2022-12-1510:18,2023-03-0807:23,4,53,44%,11,0.21,13,10
163,DETAILS CARD | Fiery | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1342225373),GIC / fiery,2022-12-1510:24,2023-03-0807:19,4,53,44%,11,0.21,13,10
172,DETAILS CARD | Outline | Wedding Details Card | Wedding Invitation Details Card | Bridesmaid Info Card (1342206785),GIC / outline,2022-12-1510:22,2023-03-0806:34,4,53,44%,11,0.21,13,10
777,"Wedding Day Timeline | Sunflower Wedding | Wedding Day Timeline, Wedding Timeline, Wedding Itinerary, Ceremony Program, Wedding Programs (865741347)",,2022-11-1516:28,2023-01-1013:00,4,848,44%,176,0.21,13,6
308,"GOLD FOIL | Wedding Invitations | Blue Flowers | Blue Wedding Invitations, Elegant Wedding Invitations, Blue Luxury Wedding Invitations (1329278407)",FSC/Blue Flowers,2022-12-1508:12,2023-02-2011:09,2,72,44%,15,0.21,13,10
336,"GOLD FOIL | Wedding Invitations | Pink Watercolour | Wedding Invitations Gold Foil, Elegant Wedding Invitations, Custom Wedding Invitations (1315333756)",FSC/Pink Watercolour,2022-12-1507:45,2023-02-2011:49,2,72,44%,15,0.21,13,10
346,"GOLD FOIL | Wedding Invitations | Teal Watercolour | Tiffany Blue Wedding Invitation, Elegant Wedding Invitations, Custom Wedding Invitation (1329302001)",FSC/Teal Watercolour,2022-12-1507:59,2023-02-2011:46,2,72,44%,15,0.21,13,10
975,Wedding Itinerary | Spring Florals (865717549),PSpamph/spring,2022-12-0110:59,2023-02-0910:40,2,848,44%,178,0.21,13,10
760,"Tropical Place Card, Jungle Place Cards, Bright Floral Place Names, Place Cards Wedding, Place Settings, Table Setting, Seating Cards (1151032338)",plc/tropical,2022-12-1512:01,2023-01-2811:10,6,343,44%,72,0.21,13,10
675,TABLE NUMBERS | Gypsophila | Wedding Table Number | Table Number Wedding | Wedding Table Number Cards (1342989197),WOODENHOLDERS,2022-11-1508:49,2023-03-0906:46,5,52,44%,11,0.21,13,10
